gene_IDs,DMSO,BPA
ENSG00000282461,4.711620665,4.115991143
ENSG00000253729,4.490343755,4.562939608
ENSG00000273820,2.989285028,2.868407708
ENSG00000277846,6.372174179,6.302490122
ENSG00000069702,5.846456176,5.875214356
ENSG00000262879,3.058209277,3.02885774
ENSG00000248498,6.175398707,6.124296451
ENSG00000180921,8.528469307,8.541387818
ENSG00000176182,4.732590126,5.006040998
ENSG00000185168,6.23560654,6.605217469
ENSG00000131748,11.40241857,11.40199257
ENSG00000274052,7.852381974,7.86969549
ENSG00000242028,10.90736802,10.91678478
ENSG00000134817,1.128088431,2.64591736
ENSG00000251209,10.27144156,10.29596135
ENSG00000168781,3.297447096,4.115322836
ENSG00000246695,8.778989851,8.796798868
ENSG00000129514,6.160103944,6.156628019
ENSG00000255119,2.867173643,3.223524537
ENSG00000259869,6.936345556,7.12119789
ENSG00000255093,1.271116594,2.061871739
ENSG00000283440,1.340138843,2.653448139
ENSG00000198542,2.526056663,3.783967047
ENSG00000176903,10.37519774,10.30985223
ENSG00000138495,12.05559016,11.94121413
ENSG00000137860,1.222229889,2.236387518
ENSG00000188352,10.14937258,10.09227522
ENSG00000117154,1.563134299,2.099862082
ENSG00000185115,5.214427168,5.29899239
ENSG00000073578,12.78763326,12.77179814
ENSG00000128595,9.386216014,9.435058684
ENSG00000240972,13.96686675,13.91052706
ENSG00000142784,7.30100322,7.483947114
ENSG00000100024,11.67684357,11.68755796
ENSG00000262580,4.82527354,5.31683286
ENSG00000172965,3.981261902,4.577783105
ENSG00000184349,4.40242013,4.057697671
ENSG00000263271,3.357502995,2.617538561
ENSG00000211659,3.817091515,3.570281644
ENSG00000135638,9.019243342,10.0733998
ENSG00000101004,4.824382256,4.872392412
ENSG00000221874,1.832607931,2.075366437
ENSG00000261286,2.381115383,2.973176803
ENSG00000164675,2.521004081,1.545755218
ENSG00000136631,6.991421837,7.499404851
ENSG00000136367,3.124050569,2.676565366
ENSG00000095139,8.864001843,9.048592826
ENSG00000223877,13.14034736,13.0204645
ENSG00000124243,4.808948817,4.830473965
ENSG00000157423,2.730644964,3.049274459
ENSG00000134248,11.55391492,11.52833054
ENSG00000174917,10.40348219,10.42796268
ENSG00000164022,10.22157061,10.2693868
ENSG00000156697,4.965166641,5.055452858
ENSG00000180549,4.692557947,4.269444485
ENSG00000071243,8.545305104,8.615228449
ENSG00000121903,2.806391299,3.127778346
ENSG00000178605,11.87116714,11.80467275
ENSG00000177675,8.334332054,8.093987804
ENSG00000124523,8.217142839,7.992388703
ENSG00000183938,3.828774263,2.83583883
ENSG00000136942,12.16055102,12.07093971
ENSG00000179477,4.303639083,3.418115264
ENSG00000198690,3.207234299,3.182404758
ENSG00000163510,6.175601915,5.931275003
ENSG00000113269,9.801226803,9.695574272
ENSG00000232807,6.059216342,5.91980956
ENSG00000122335,5.856402435,5.780937791
ENSG00000237760,4.019750321,4.132853516
ENSG00000257433,2.877114028,2.33579653
ENSG00000071539,4.844690755,5.081426538
ENSG00000145868,7.069980701,7.017699808
ENSG00000133026,6.900524281,6.801580882
ENSG00000141736,10.07668656,9.992391011
